time,alt,vz,vx,vy,az,pre,servo,ax,ay,axr,ayr,azr,gxr,gyr,gzr,target,altr,baro,temp,state,samples
853,28.092968,48.005222,18.042952,4.932635,72.64501,0.0,0.0,-38.424103,-5.483036,-1.2717553,41.5009,81.126495,-2.6194854,5.7289925,-4.9438925,0.0,29.311884,101161.11,36.47,2,44
864,28.8969,48.799683,17.596935,4.9232836,71.56232,0.0,0.0,-42.760204,4.031266,0.76161623,43.728268,80.954056,-2.2722092,5.869607,-4.6946206,0.0,29.311884,101161.11,36.47,2,44
875,29.757942,49.583775,17.109734,5.03143,70.27599,0.0,0.0,-46.596535,15.333031,4.0739284,46.566364,81.45701,-1.9387813,5.8557587,-5.3103433,0.0,30.294247,101150.18,36.47,2,44
885,30.639353,50.33238,16.609041,5.2413874,68.242836,0.0,0.0,-49.007717,23.88821,4.1098537,48.84403,81.62227,-1.5116103,5.5244613,-7.8414116,0.0,31.326704,101138.61,36.46,2,43
896,31.589394,51.066532,16.078808,5.5563188,65.16107,0.0,0.0,-47.982643,32.255608,3.326682,48.76499,81.08339,-1.3070794,5.143097,-10.626013,0.0,32.428276,101126.33,36.46,2,44
908,32.567295,51.773094,15.544299,5.9622173,62.79105,0.0,0.0,-46.603603,40.136044,0.5245093,49.22484,81.42827,-1.2058793,4.716991,-13.99651,0.0,33.528767,101114.05,36.45,2,44
919,33.559917,52.443913,15.03105,6.4622545,59.52827,0.0,0.0,-43.76056,48.81395,-2.6584718,49.72779,81.39953,-1.2133362,4.3153863,-17.32333,0.0,34.624626,101101.8,36.45,2,44
930,34.5972,53.079067,14.5730915,7.054777,55.429188,0.0,0.0,-40.281,58.715,-6.4306273,51.646202,81.349236,-1.2538162,3.9926112,-19.790483,0.0,35.849922,101088.17,36.44,2,44
941,35.668007,53.669304,14.186841,7.7388444,50.989178,0.0,0.0,-31.459888,65.53525,-9.426797,49.34698,80.3577,-1.3550164,3.7752972,-20.691696,0.0,37.07066,101074.55,36.44,2,44
979,38.429176,55.251022,14.114821,10.591186,38.679234,0.0,0.0,7.496637,73.14986,-7.6161623,41.299717,77.42619,-1.3496901,4.588094,-13.192235,0.0,39.884296,101043.125,36.42,2,44
990,39.56606,55.643036,14.271424,11.401915,34.128166,0.0,0.0,20.138348,72.03969,-3.7793407,41.838596,75.90296,-1.2293152,4.9928946,-10.360762,0.0,40.622368,101034.92,36.42,2,44
1001,40.531906,56.000195,14.552683,12.186981,31.145147,0.0,0.0,30.457169,70.16295,-1.9112256,42.542732,75.594,-1.1270498,5.1452274,-9.414807,0.0,41.30233,101027.36,36.41,2,44
1012,41.35679,56.32641,14.952908,12.936483,28.382235,0.0,0.0,41.11602,66.195435,1.0777588,43.05287,75.34252,-1.0418286,5.164402,-9.053682,0.0,41.85303,101021.17,36.41,2,44
1023,42.0789,56.623894,15.459415,13.640822,25.939894,0.0,0.0,50.541443,61.204796,3.3626075,43.670788,75.23475,-0.95234644,5.0397663,-9.148491,0.0,42.41371,101014.96,36.4,2,44
1034,42.728798,56.89343,16.055557,14.281418,23.456667,0.0,0.0,58.15269,54.51095,5.144502,43.74982,74.29351,-0.8511463,4.796886,-9.560748,0.0,42.980034,101008.62,36.39,2,44
1045,43.333332,57.140057,16.73099,14.849182,21.448912,0.0,0.0,64.46852,47.948997,5.805527,44.346184,73.70433,-0.6135923,4.3398876,-10.526943,0.0,43.536373,101002.41,36.39,2,44
